name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-01-18,5.3,-0.8,2.5,5.3,-4.9,0.7,-0.2,83.1,52.629,100,58.33,"rain,snow",0,0,31.5,14.6,5.5,1014,83.3,8.7,45.4,3.9,3,,2015-01-18T07:16:44,2015-01-18T16:56:27,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-19,5,2.9,3.8,1.9,-2.7,0.2,-3.6,59.8,0.645,100,4.17,rain,0,0,51.5,29.5,279.7,1009.2,81.1,15.9,111.8,9.8,5,,2015-01-19T07:16:12,2015-01-19T16:57:37,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-20,4.2,0.7,2.7,1.8,-3.2,-0.4,-7,49.2,0,0,0,,0,0,35.3,15.7,298.6,1013.2,66.2,16,78.4,6.6,3,,2015-01-20T07:15:38,2015-01-20T16:58:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-21,1.6,-3.8,-0.6,1.6,-8.4,-3.3,-12.8,39.8,0,0,0,,0,0,,11.6,29.7,1020.2,55.4,15.9,55.6,4.8,3,,2015-01-21T07:15:02,2015-01-21T16:59:58,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-22,3.9,-0.6,1.3,3.4,-4.9,-1.4,-6.8,55.6,0,0,0,,0,0,35.3,19.1,319,1023.4,61.9,13.9,111.6,9.8,5,,2015-01-22T07:14:24,2015-01-22T17:01:10,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-23,3.7,-2.2,0.7,1,-6.9,-2.7,-8.1,51.8,0,0,0,,1.1,0.3,42.5,18.4,265.5,1023.3,17.6,15.5,123,10.8,5,,2015-01-23T07:13:44,2015-01-23T17:02:22,0.11,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-24,3.5,0.5,1.8,1.1,-3.7,-1.3,-1.4,80.2,18.527,100,50,"rain,snow",1.3,1.7,49,22.4,340.5,1000.3,85,7.4,20.7,1.8,1,,2015-01-24T07:13:02,2015-01-24T17:03:35,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-25,5.5,-0.2,2.9,2.5,-5.4,-0.5,-7.7,47.9,0,0,0,,0.9,1.7,46.4,20.9,293.7,1007,52.4,15.8,124.2,10.6,5,,2015-01-25T07:12:18,2015-01-25T17:04:48,0.18,Partially cloudy,Clearing in the afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-26,-0.8,-5.2,-3.6,-4.6,-13.3,-10.1,-9.4,66.7,9.943,100,45.83,snow,4.1,3.1,53,31.7,49.1,1013,98.5,6.7,24,2,1,,2015-01-26T07:11:32,2015-01-26T17:06:01,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-27,-1.7,-6.1,-4.3,-6.4,-14.2,-10.3,-9.3,68.7,8.652,100,33.33,snow,2.7,7.9,56.7,35.3,350.4,1005.4,74.7,9.8,63.6,5.5,3,,2015-01-27T07:10:44,2015-01-27T17:07:14,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72505394728,KLGA,KNYC,72503014732"
